source_id,title,raw_level_field_name,raw_level_value,page_count,word_count_est,notes
4e1a12a3-5bd4-415b-a697-a1fe7824ce1c,"Күчүк, Мышык жана топ",leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""bookshelf:kyrgyzstan2020-ky-grade1-level1.2"", ""computedLevel:2""]",18,164,numbered_pages=12
bf6fe85c-a533-4922-9492-afc63d992ce5,02 - Mêo hăng Asâo: Khul Boh Hiăp,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",39,100,numbered_pages=33
0a38c9cf-0606-4ad4-aefb-8a97c44d62d9,Биздин көчө зоопаркпы?,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""bookshelf:kyrgyzstan2020-ky-grade2-level2.2"", ""computedLevel:2""]",17,172,numbered_pages=11
7ee7b9b7-eb02-4bd4-8633-652cf2f4ee77,Очень высокий человек,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""bookshelf:kyrgyzstan2020-ru-grade1-level1.3"", ""computedLevel:2""]",17,79,numbered_pages=11
64449775-1d4d-4852-b023-9c47bc51acc6,A5-Colours of a Rainbow,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",20,117,numbered_pages=16
411f6dd4-ade3-4c44-b443-0cf3646ba3bb,Anna’s Adventure,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",12,101,numbered_pages=6
71d66196-ee12-4a24-9b86-ee76bbfe88f5,Can and Cannot,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",11,43,numbered_pages=5
7f4681dc-4106-4736-a10e-8516b242ec82,దీపన గియన్,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",16,139,numbered_pages=10
b1be87dc-4c39-4c6d-bddd-5a1f8876a4dd,How to Catch the Wind,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",15,88,numbered_pages=8
c82262e3-4cc0-4346-8359-5de22b43827f,నాకున్ ఇహిన్ లాగంత,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:1""]",12,6,numbered_pages=6
68808917-4849-43a2-823a-f6281e03b9d8,Jacob and the Fish,tags,"tags=[""computedLevel:1""]",14,63,numbered_pages=8
b30b0142-c791-4a52-9a5e-a4d4e4f4bf2a,Jobs,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",15,102,numbered_pages=9
6f7c4247-7d8d-4e91-b0fb-24c822607e43,Ni jọnwọn tẹ kẹ yọ,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:1""]",17,49,numbered_pages=11
e67a8023-b942-474a-8094-a355d831f3fc,Tənə bə ŋkuntaŋ,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:1""]",16,20,numbered_pages=10
468f071b-8251-4554-9e6f-21bfd9c5e57d,A família de Maria,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:1""]",17,43,numbered_pages=11
05bdb04b-3f95-4e7f-9332-f5444a7fca1a,Noakawir and the Beans,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",31,278,numbered_pages=25
19b38c09-b63b-4e97-aa3e-e4834056ae8f,The Moon and the Hat,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",17,135,numbered_pages=11
cf425be1-d87e-45f8-87af-963cad54e218,Ẹbẹrẹtẹkọgben itetenyin Ẹta abẹ,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",19,109,numbered_pages=13
6c2a2c2f-e0d9-4ce8-85c9-2962ddb2584d,Ngomhlolokazi nomgwebi ongenabulungisa,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",12,144,numbered_pages=7
985f9b3a-bd32-4eaa-938a-a47c694c1ad7,आक्‍खाचिऎ लॆहिकुचि,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",14,72,numbered_pages=8
6e57e9aa-063f-463d-ad3a-9df3e6e31da7,Natɨmnat kitat kotɨtun nolən,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:1""]",14,16,numbered_pages=8
ed9782f9-e3cd-483b-8217-9b86d2430c76,Timmi's dream,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",14,71,numbered_pages=8
25ce9a8d-58d0-4577-838e-46fa897822ae,Айым жана Кумайык,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""bookshelf:kyrgyzstan2020-ky-grade1-level1.2"", ""computedLevel:2""]",17,174,numbered_pages=11
50a63a0a-6a95-4ea0-bd43-f6d1ba27457b,La tortue trouve sa maison,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:1""]",18,397,numbered_pages=12
b0f2a9ab-2326-4686-aa36-f8d57c859345,Kijana Wewak,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:2""]",15,153,numbered_pages=9
409a37a2-27aa-4bae-8421-8aafeab23bf6,Ingkepaga Benafi?,leveledReaderLevel ; tags,"leveledReaderLevel=0 ; tags=[""computedLevel:1""]",16,40,numbered_pages=10
1daac76a-b353-459a-a9cc-a2f0f8c8abc8,कृङपे सेम,leveledReaderLevel ; tags,"leveledReaderLevel=3 ; tags=[""computedLevel:1""]",16,73,numbered_pages=12
